vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,dt,n_neurons,inhibition_time,vprog_increment,accuracy,accuracy_2
-0.9,0.05,0.5,6000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,54.883333333333326,55.8
-0.9,0.1,0.5,6000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,44.28333333333334,44.28
-0.9,0.15,0.5,6000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,39.45,39.5
-0.9,0.2,0.5,6000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,29.099999999999998,29.65
-0.9,0.25,0.5,6000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,32.43333333333333,32.87
-0.9,0.3,0.5,6000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,38.06666666666666,38.08
-0.9,0.35,0.5,6000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,30.75,32.4
-0.9,0.4,0.5,6000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,37.5,38.17
-0.9,0.5,0.5,6000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,35.5,35.98
