vprog,input_nbr,g_max,tau_in,tau_out,gain_in,gain_out,bias_in,bias_out,thr_out,inhibition_time,lr,presentation_time,accuracy
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.0,0.0,90.0,12.0,0.0001,0.2,58.75
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.0,0.125,50.0,8.0,0.0001,0.2,59.309999999999995
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.0,0.125,50.0,10.0,0.0001,0.2,56.14
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.0,0.125,50.0,12.0,0.0001,0.2,54.05
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.0,0.125,70.0,8.0,0.0001,0.2,51.790000000000006
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.0,0.125,70.0,10.0,0.0001,0.2,56.93
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.0,0.125,70.0,12.0,0.0001,0.2,57.69
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.0,0.125,90.0,8.0,0.0001,0.2,60.699999999999996
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.0,0.125,90.0,10.0,0.0001,0.2,53.09
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.0,0.125,90.0,12.0,0.0001,0.2,56.879999999999995
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,-0.125,50.0,8.0,0.0001,0.2,55.510000000000005
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,-0.125,50.0,10.0,0.0001,0.2,54.06999999999999
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,-0.125,50.0,12.0,0.0001,0.2,57.06
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,-0.125,70.0,8.0,0.0001,0.2,56.910000000000004
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,-0.125,70.0,10.0,0.0001,0.2,59.78
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,-0.125,70.0,12.0,0.0001,0.2,56.56
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,-0.125,90.0,8.0,0.0001,0.2,56.730000000000004
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,-0.125,90.0,10.0,0.0001,0.2,64.16
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,-0.125,90.0,12.0,0.0001,0.2,56.39999999999999
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,0.0,50.0,8.0,0.0001,0.2,58.540000000000006
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,0.0,50.0,10.0,0.0001,0.2,58.07
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,0.0,50.0,12.0,0.0001,0.2,57.25
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,0.0,70.0,8.0,0.0001,0.2,62.419999999999995
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,0.0,70.0,10.0,0.0001,0.2,51.94
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,0.0,70.0,12.0,0.0001,0.2,61.050000000000004
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,0.0,90.0,8.0,0.0001,0.2,58.58
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,0.0,90.0,10.0,0.0001,0.2,60.56
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,0.0,90.0,12.0,0.0001,0.2,58.64
