vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,dt,n_neurons,inhibition_time,vprog_increment,ref,accuracy,accuracy_2
-0.9,0.03,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.001,20.0,2.0,0.0,0.005,32.5,38.1
-0.9,0.03,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.001,20.0,2.0,0.0,0.001,44.3,48.0
-0.9,0.03,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.005,20.0,10.0,0.0,0.002,21.5,29.3
-0.9,0.03,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.005,20.0,10.0,0.0,0.005,33.300000000000004,35.2
-0.9,0.03,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.005,20.0,10.0,0.0,0.001,22.8,29.9
-0.9,0.03,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.005,20.0,2.0,0.0,0.002,31.8,34.9
-0.9,0.03,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.005,20.0,2.0,0.0,0.005,21.0,26.8
-0.9,0.03,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.005,20.0,2.0,0.0,0.001,33.2,34.7
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.001,20.0,10.0,0.0,0.002,30.8,20.4
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.001,20.0,10.0,0.0,0.005,31.4,19.8
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.001,20.0,10.0,0.0,0.001,32.800000000000004,19.8
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.001,20.0,2.0,0.0,0.002,33.800000000000004,21.0
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.001,20.0,2.0,0.0,0.005,30.5,19.6
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.001,20.0,2.0,0.0,0.001,24.6,19.7
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,0.002,51.6,53.7
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,0.005,57.8,59.0
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,0.001,58.599999999999994,59.4
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,2.0,0.0,0.002,23.1,29.0
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,2.0,0.0,0.005,22.5,27.5
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,2.0,0.0,0.001,17.9,22.3
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.001,20.0,10.0,0.0,0.002,50.6,52.7
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.001,20.0,10.0,0.0,0.005,43.8,46.2
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.001,20.0,10.0,0.0,0.001,44.6,47.8
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.001,20.0,2.0,0.0,0.002,57.8,59.5
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.001,20.0,2.0,0.0,0.005,47.8,52.3
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.001,20.0,2.0,0.0,0.001,52.300000000000004,53.3
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.005,20.0,10.0,0.0,0.002,52.0,53.0
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.005,20.0,10.0,0.0,0.005,55.00000000000001,55.9
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.005,20.0,10.0,0.0,0.001,47.3,51.7
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.005,20.0,2.0,0.0,0.002,26.5,28.5
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.005,20.0,2.0,0.0,0.005,27.3,34.4
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.005,20.0,2.0,0.0,0.001,22.6,26.5
