vprog,input_nbr,g_max,tau_in,tau_out,lr,presentation_time,accuracy
-0.6,60000.0,0.1,0.15,0.15,0.0001,0.2,46.839999999999996
-0.6,60000.0,0.1,0.15,0.15,0.0001,0.35,56.61000000000001
-0.6,60000.0,0.1,0.15,0.2,0.0005,0.2,55.17999999999999
-0.6,60000.0,0.1,0.15,0.2,0.0005,0.35,58.989999999999995
-0.6,60000.0,0.1,0.15,0.2,0.0001,0.2,47.04
-0.6,60000.0,0.1,0.15,0.2,0.0001,0.35,61.970000000000006
-0.6,60000.0,0.1,0.2,0.03,0.0005,0.2,45.78
-0.6,60000.0,0.1,0.2,0.03,0.0005,0.35,64.3
-0.6,60000.0,0.1,0.2,0.03,0.0001,0.2,47.31
-0.6,60000.0,0.1,0.2,0.03,0.0001,0.35,50.529999999999994
-0.6,60000.0,0.1,0.2,0.06,0.0005,0.2,57.65
-0.6,60000.0,0.1,0.2,0.06,0.0005,0.35,60.260000000000005
-0.6,60000.0,0.1,0.2,0.06,0.0001,0.2,38.2
-0.6,60000.0,0.1,0.2,0.06,0.0001,0.35,59.089999999999996
-0.6,60000.0,0.1,0.2,0.1,0.0005,0.2,49.75
-0.6,60000.0,0.1,0.2,0.1,0.0005,0.35,64.39
-0.6,60000.0,0.1,0.2,0.1,0.0001,0.2,44.440000000000005
-0.6,60000.0,0.1,0.2,0.1,0.0001,0.35,57.66
-0.6,60000.0,0.1,0.2,0.15,0.0005,0.2,48.089999999999996
-0.6,60000.0,0.1,0.2,0.15,0.0005,0.35,57.98
-0.6,60000.0,0.1,0.2,0.15,0.0001,0.2,40.31
-0.6,60000.0,0.1,0.2,0.15,0.0001,0.35,53.900000000000006
-0.6,60000.0,0.1,0.2,0.2,0.0005,0.2,55.63
-0.6,60000.0,0.1,0.2,0.2,0.0005,0.35,63.04
-0.6,60000.0,0.1,0.2,0.2,0.0001,0.2,41.05
-0.6,60000.0,0.1,0.2,0.2,0.0001,0.35,53.03
-0.6,60000.0,0.1,0.3,0.03,0.0005,0.2,47.449999999999996
-0.6,60000.0,0.1,0.3,0.03,0.0005,0.35,61.44
-0.6,60000.0,0.1,0.3,0.03,0.0001,0.2,28.79
-0.6,60000.0,0.1,0.3,0.03,0.0001,0.35,49.59
-0.6,60000.0,0.1,0.3,0.06,0.0005,0.2,45.79
-0.6,60000.0,0.1,0.3,0.06,0.0005,0.35,48.980000000000004
-0.6,60000.0,0.1,0.3,0.06,0.0001,0.2,36.61
-0.6,60000.0,0.1,0.3,0.06,0.0001,0.35,49.62
-0.6,60000.0,0.1,0.3,0.1,0.0005,0.2,47.15
-0.6,60000.0,0.1,0.3,0.1,0.0005,0.35,60.69
