vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,dt,n_neurons,inhibition_time,vprog_increment,accuracy,accuracy_2
-0.9,0.07,0.16,10000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,58.93333333333334,60.47
-0.85,0.07,0.16,10000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,59.63333333333334,59.83
-0.8,0.07,0.16,10000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,55.08333333333333,56.52
-0.75,0.07,0.16,10000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,48.43333333333334,49.5
-0.7,0.07,0.16,10000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,48.983333333333334,49.0
-0.65,0.07,0.16,10000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,48.86666666666667,49.6
-0.6,0.07,0.16,10000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,40.61666666666667,41.13
-0.55,0.07,0.16,10000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,27.3,28.92
-0.5,0.07,0.16,10000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,27.78333333333333,27.83
