vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
-0.25,1.0,0.5,6000.0,0.06,0.06,1.0,1.0,0.35,0.0,0.005,30.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,2.0,0.6,0.0,30.470000000000002,34.75,100.0
-0.25,1.0,0.5,6000.0,0.06,0.06,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,2.0,0.6,0.0,31.879999999999995,35.25,100.0
-0.25,1.0,0.5,6000.0,0.06,0.06,1.0,1.0,0.35,0.0,0.005,100.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,2.0,0.6,0.0,36.49,35.99,100.0
-0.25,1.0,0.5,6000.0,0.06,0.06,1.0,1.0,0.35,0.0,0.005,150.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,2.0,0.6,0.0,35.620000000000005,35.7,100.0
