vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,dt,n_neurons,inhibition_time,vprog_increment,accuracy,accuracy_2
-0.9,0.1,0.16,1000.0,0.06,0.09,1.0,1.0,0.35,0.005,20.0,10.0,0.0,55.58333333333333,56.6
-0.9,0.1,0.16,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,59.050000000000004,60.88
-0.9,0.1,0.16,1000.0,0.06,0.03,1.0,1.0,0.35,0.005,20.0,10.0,0.0,57.733333333333334,58.37
-0.9,0.1,0.16,1000.0,0.03,0.15,1.0,1.0,0.35,0.005,20.0,10.0,0.0,59.266666666666666,61.2
-0.9,0.1,0.16,1000.0,0.03,0.09,1.0,1.0,0.35,0.005,20.0,10.0,0.0,56.51666666666667,58.02
-0.9,0.1,0.16,1000.0,0.03,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,51.18333333333334,54.22
-0.9,0.1,0.16,1000.0,0.03,0.03,1.0,1.0,0.35,0.005,20.0,10.0,0.0,50.38333333333333,50.47
-0.9,0.15,0.16,1000.0,0.15,0.15,1.0,1.0,0.35,0.005,20.0,10.0,0.0,46.483333333333334,51.52
-0.9,0.15,0.16,1000.0,0.15,0.09,1.0,1.0,0.35,0.005,20.0,10.0,0.0,56.93333333333334,56.95
-0.9,0.15,0.16,1000.0,0.15,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,54.383333333333326,54.53
-0.9,0.15,0.16,1000.0,0.15,0.03,1.0,1.0,0.35,0.005,20.0,10.0,0.0,45.666666666666664,47.5
-0.9,0.15,0.16,1000.0,0.09,0.15,1.0,1.0,0.35,0.005,20.0,10.0,0.0,51.733333333333334,54.95
-0.9,0.15,0.16,1000.0,0.09,0.09,1.0,1.0,0.35,0.005,20.0,10.0,0.0,52.916666666666664,54.1
-0.9,0.15,0.16,1000.0,0.09,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,54.75,55.83
-0.9,0.15,0.16,1000.0,0.09,0.03,1.0,1.0,0.35,0.005,20.0,10.0,0.0,51.31666666666666,52.55
-0.9,0.15,0.16,1000.0,0.06,0.15,1.0,1.0,0.35,0.005,20.0,10.0,0.0,55.43333333333334,59.08
-0.9,0.15,0.16,1000.0,0.06,0.09,1.0,1.0,0.35,0.005,20.0,10.0,0.0,52.166666666666664,53.72
-0.9,0.15,0.16,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,51.366666666666674,53.63
-0.9,0.15,0.16,1000.0,0.06,0.03,1.0,1.0,0.35,0.005,20.0,10.0,0.0,50.516666666666666,50.9
-0.9,0.15,0.16,1000.0,0.03,0.15,1.0,1.0,0.35,0.005,20.0,10.0,0.0,55.300000000000004,57.92
-0.9,0.15,0.16,1000.0,0.03,0.09,1.0,1.0,0.35,0.005,20.0,10.0,0.0,59.53333333333334,59.57
-0.9,0.15,0.16,1000.0,0.03,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,50.28333333333334,53.1
-0.9,0.15,0.16,1000.0,0.03,0.03,1.0,1.0,0.35,0.005,20.0,10.0,0.0,52.0,52.85
-0.9,0.2,0.16,1000.0,0.15,0.15,1.0,1.0,0.35,0.005,20.0,10.0,0.0,53.949999999999996,56.57
-0.9,0.2,0.16,1000.0,0.15,0.09,1.0,1.0,0.35,0.005,20.0,10.0,0.0,51.0,51.5
-0.9,0.2,0.16,1000.0,0.15,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,49.483333333333334,49.75
-0.9,0.2,0.16,1000.0,0.15,0.03,1.0,1.0,0.35,0.005,20.0,10.0,0.0,46.050000000000004,46.13
-0.9,0.2,0.16,1000.0,0.09,0.15,1.0,1.0,0.35,0.005,20.0,10.0,0.0,48.81666666666667,56.18
-0.9,0.2,0.16,1000.0,0.09,0.09,1.0,1.0,0.35,0.005,20.0,10.0,0.0,49.166666666666664,51.55
-0.9,0.2,0.16,1000.0,0.09,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,54.733333333333334,55.98
-0.9,0.2,0.16,1000.0,0.09,0.03,1.0,1.0,0.35,0.005,20.0,10.0,0.0,50.28333333333334,50.67
